"codendereco","rua","modulo","posicao","tipo"
"05-22-19","05","22","19",COLEÇÃO
"05-22-20","05","22","20",COLEÇÃO
"05-22-21","05","22","21",COLEÇÃO
"05-22-22","05","22","22",COLEÇÃO
"05-22-23","05","22","23",COLEÇÃO
"05-22-24","05","22","24",COLEÇÃO
"05-23-01","05","23","01",COLEÇÃO
"05-23-02","05","23","02",COLEÇÃO
"05-23-03","05","23","03",COLEÇÃO
"05-23-04","05","23","04",COLEÇÃO
"05-23-05","05","23","05",COLEÇÃO
"05-23-06","05","23","06",COLEÇÃO
"05-23-07","05","23","07",COLEÇÃO
"05-23-08","05","23","08",COLEÇÃO
"05-23-09","05","23","09",COLEÇÃO
"05-23-10","05","23","10",COLEÇÃO
"05-23-11","05","23","11",COLEÇÃO
"05-23-12","05","23","12",COLEÇÃO
"05-23-13","05","23","13",COLEÇÃO
"05-23-14","05","23","14",COLEÇÃO
"05-23-15","05","23","15",COLEÇÃO
"05-23-16","05","23","16",COLEÇÃO
"05-23-17","05","23","17",COLEÇÃO
"05-23-18","05","23","18",COLEÇÃO
"05-23-19","05","23","19",COLEÇÃO
"05-23-20","05","23","20",COLEÇÃO
"05-23-21","05","23","21",COLEÇÃO
"05-23-22","05","23","22",COLEÇÃO
"05-23-23","05","23","23",COLEÇÃO
"05-23-24","05","23","24",COLEÇÃO
"05-24-01","05","24","01",COLEÇÃO
"05-24-02","05","24","02",COLEÇÃO
"05-24-03","05","24","03",COLEÇÃO
"05-24-04","05","24","04",COLEÇÃO
"05-24-05","05","24","05",COLEÇÃO
"05-24-06","05","24","06",COLEÇÃO
"05-24-07","05","24","07",COLEÇÃO
"05-24-08","05","24","08",COLEÇÃO
"05-24-09","05","24","09",COLEÇÃO
"05-24-10","05","24","10",COLEÇÃO
"05-24-11","05","24","11",COLEÇÃO
"05-24-12","05","24","12",COLEÇÃO
"05-24-13","05","24","13",COLEÇÃO
"05-24-14","05","24","14",COLEÇÃO
"05-24-15","05","24","15",COLEÇÃO
"05-24-16","05","24","16",COLEÇÃO
"05-24-17","05","24","17",COLEÇÃO
"05-24-18","05","24","18",COLEÇÃO
"05-24-19","05","24","19",COLEÇÃO
"05-24-20","05","24","20",COLEÇÃO
"05-24-21","05","24","21",COLEÇÃO
"05-24-22","05","24","22",COLEÇÃO
"05-24-23","05","24","23",COLEÇÃO
"05-24-24","05","24","24",COLEÇÃO
"05-25-01","05","25","01",COLEÇÃO
"05-25-02","05","25","02",COLEÇÃO
"05-25-03","05","25","03",COLEÇÃO
"05-25-04","05","25","04",COLEÇÃO
"05-25-05","05","25","05",COLEÇÃO
"05-25-06","05","25","06",COLEÇÃO
"05-25-07","05","25","07",COLEÇÃO
"05-25-08","05","25","08",COLEÇÃO
